,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
71,0.011168098,0.000746852,0.003393126,0.000799633,2,4,auto,sigmoid,"{'C': 2, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.714285714,0.683673469,0.755102041,0.724489796,0.714285714,0.718367347,0.022908106,62
72,0.005795574,0.00039023,0.002187872,0.000387123,5,2,scale,linear,"{'C': 5, 'degree': 2, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.683673469,0.755102041,0.718367347,0.029993752,62
76,0.006170893,0.00039175,0.003003216,0.000898095,5,2,auto,linear,"{'C': 5, 'degree': 2, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.683673469,0.755102041,0.718367347,0.029993752,62
80,0.005977917,2.04E-05,0.002196646,0.000398705,5,3,scale,linear,"{'C': 5, 'degree': 3, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.683673469,0.755102041,0.718367347,0.029993752,62
84,0.005589199,0.000486906,0.002387524,0.000485518,5,3,auto,linear,"{'C': 5, 'degree': 3, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.683673469,0.755102041,0.718367347,0.029993752,62
88,0.005790234,0.000387669,0.002189159,0.00040189,5,4,scale,linear,"{'C': 5, 'degree': 4, 'gamma': 'scale', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.683673469,0.755102041,0.718367347,0.029993752,62
92,0.005783844,0.000746622,0.002593994,0.000489301,5,4,auto,linear,"{'C': 5, 'degree': 4, 'gamma': 'auto', 'kernel': 'linear'}",0.683673469,0.724489796,0.744897959,0.683673469,0.755102041,0.718367347,0.029993752,62
102,0.013155365,0.000406653,0.005190611,0.000743165,10,2,auto,rbf,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.693877551,0.683673469,0.755102041,0.704081633,0.744897959,0.716326531,0.028425282,71
103,0.009381819,0.000484629,0.002586794,0.000796163,10,2,auto,sigmoid,"{'C': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.704081633,0.683673469,0.744897959,0.704081633,0.744897959,0.716326531,0.024489796,71
110,0.013170147,0.000396566,0.005180359,0.000740994,10,3,auto,rbf,"{'C': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'rbf'}",0.693877551,0.683673469,0.755102041,0.704081633,0.744897959,0.716326531,0.028425282,71
